Pay Grade/Step,Annual Salary,Class #,Title,Current Dept Description,Employment Status,EEO Job Cat,EEO Job Cat Desc,Gender,Ethnic Code,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt Y/N
CO0410,"58,609.58",07145,Correctional Officer Lieut,Sheriff,Full Time,004,Protective Service Workers,M,02,Black,1960,9/1/88,Y
TG1105,"46,115.07",03610,Plumber,Parks,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1971,4/1/93,N
SR0906,"47,620.28",07241,Admin Asst,Fire,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1963,4/1/85,N
PS0410,"61,602.64",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1975,10/16/98,N
CA0800,"59,051.20",10705,Exhibitor Srvs Mgr-MCC,Convention Center Authority,Full Time,006,Administrative Support,F,02,Black,1973,9/25/96,Y
SR1200,"57,962.09",07783,Info Systems App Analyst 3,Information Technology Service,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1961,12/1/93,Y
JS0300,"62,037.73",07791,Judicial Asst 2,General Sessions Court,Full Time,004,Protective Service Workers,M,02,Black,1947,9/1/95,Y
NS,"46,586.25",10764,Domestic Viol Trng Coord-MO,Office of Family Safety,Full Time,002,Professionals,F,02,Black,1957,8/18/14,N
SR1200,"68,066.17",10466,Water Quality Analyst 3,Water Services,Full Time,002,Professionals,M,02,Black,1952,6/1/78,Y
SR1010,"58,609.58",07300,Engineering Tech 3,Public Works,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1952,3/1/98,N
SR1200,"68,749.26",05495,Probation Officer 3,Juvenile Court,Full Time,002,Professionals,F,02,Black,1952,1/31/72,Y
SR0810,"23,355.46",07143,Sheriff Case Worker 1,Sheriff,Part Time,005,Para-Professional,F,01,White (Not of Hispanic Origin),1947,12/1/08,N
SR1300,"74,184.30",10108,Finance Admin,District Attorney,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1951,11/16/96,Y
NS,"125,453.00",05534,Tax Assessor,Assessor of Property,Elected,000,Elected Officials,M,01,White (Not of Hispanic Origin),1959,6/8/81,Y
SR0801,"36,853.92",07741,Envir Compliance Officer 1,Water Services,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1974,12/5/15,N
SR1500,"104,159.70",10354,Exe Administrator Police/Fire,Police,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1965,5/29/98,Y
PS0510,"66,064.72",07307,Fire Engineer,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1961,10/16/86,N
SR1108,"61,230.14",07756,Technical Specialist 1,Water Services,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1963,2/1/86,Y
SR1005,"51,096.52",07300,Engineering Tech 3,Water Services,Full Time,008,Service Maintenance,M,02,Black,1964,1/14/91,N
PS0410,"59,808.39",01818,Emerg Medical Tech 2,Fire,Full Time,003,Technicians,M,02,Black,1962,12/1/85,N
SR1400,"89,906.75",06606,Engineer 3,Public Works,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1969,8/16/99,Y
SR0710,"43,119.00",10123,Office Support Spec 1,Fire,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1961,12/16/86,N
SR0910,"53,062.48",10579,Sheriff Releasing Officer,Sheriff,Full Time,003,Technicians,M,02,Black,1964,7/1/88,N
NS,"39,895.00",07379,Program Spec 2,State Trial Courts,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1960,4/13/98,N
SR1001,"45,086.06",07300,Engineering Tech 3,Water Services,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1963,4/22/96,N
PS0609,"75,140.54",07305,Fire Captain,Fire,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1961,9/1/88,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,03,Hispanic,1983,10/1/15,N
TL0905,"46,323.74",07326,Maint & Repair Leader 2,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1962,10/15/84,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,02,Black,1965,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1982,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,02,Black,1991,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1991,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,02,Black,1963,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,02,Black,1991,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1990,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,10/1/15,N
SR0700,"38,825.39",10123,Office Support Spec 1,Health,Full Time,006,Administrative Support,F,02,Black,1962,8/9/12,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1989,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,10/1/15,N
PS0610,"72,752.73",07305,Fire Captain,Fire,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1959,4/16/86,N
PS0510,"68,046.66",07307,Fire Engineer,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1957,4/16/85,N
PS0201,"37,382.84",03257,Police Officer Trainee,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,1/1/16,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,02,Black,1969,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,10/1/15,N
NS,"10,000.00",04406,Sr Asst District Attorney,District Attorney,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1955,11/1/85,Y
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,03,Hispanic,1988,10/1/15,N
PS0610,"77,117.89",07305,Fire Captain,Fire,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1963,8/16/91,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,02,Black,1980,10/1/15,N
HD0500,"77,733.76",10760,Public Health Nurse 3,Health,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1959,6/24/85,Y
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,02,Black,1989,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1974,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,10/1/15,N
PS0510,"66,064.72",07307,Fire Engineer,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1967,8/16/91,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1994,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1990,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1992,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,02,Black,1990,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1990,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1985,10/1/15,N
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1966,10/1/15,N
SR1200,"62,732.21",10722,Crime Lab Forensic Scientist 3,Police,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1983,10/1/15,Y
SR1200,"62,732.21",10722,Crime Lab Forensic Scientist 3,Police,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1986,10/1/15,Y
SR0601,"29,752.84",04540,Computer Operator 2,Police,Full Time,006,Administrative Support,M,02,Black,1992,10/1/15,N
SR1000,"55,183.78",07733,Compliance Inspector 3,General Services,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1965,9/3/85,N
PS0610,"72,752.73",07305,Fire Captain,Fire,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1953,5/16/78,N
NS,936.00,09020,Seasonal/Part-time/Temporary,State Fair Board,Seasonal,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1998,9/26/15,N
PS0610,"72,752.73",07305,Fire Captain,Fire,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1957,4/16/85,N
NS,"92,000.00",10808,Senior Advisor-Mayor's Office,Mayor's Office,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1982,10/1/15,Y
SR0700,"43,119.00",10123,Office Support Spec 1,Health,Full Time,006,Administrative Support,F,02,Black,1964,10/25/99,N
SR1500,"103,960.78",06004,Human Resources Asst Dir,Human Resources,Full Time,001,Officials and Administrators,F,01,White (Not of Hispanic Origin),1968,2/1/91,Y
SR0810,"47,908.64",10124,Office Support Spec 2,Water Services,Full Time,006,Administrative Support,F,02,Black,1958,2/16/80,N
SR1300,"73,270.40",07346,Human Resources Admin,Human Resources,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1972,9/1/97,Y
SR1300,"82,263.74",10108,Finance Admin,General Services,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1963,12/1/84,Y
SR1200,"59,683.95",10152,Finance Officer 3,Finance,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1970,8/7/06,Y
SR1400,"82,204.73",06232,Finance Mgr,Public Library,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1965,2/1/97,Y
SR1400,"82,945.13",07407,Information Systems Advisor 2,Human Resources,Full Time,001,Officials and Administrators,F,01,White (Not of Hispanic Origin),1956,3/16/99,Y
SR1000,"60,971.55",10475,Information Sys Oper Analyst 1,Information Technology Service,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1966,3/1/92,N
SR1010,"58,609.58",07244,Admin Svcs Officer 3,Fire,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1952,8/1/93,N
SR0900,"50,851.69",10479,Information Sys Oper Tech 2,Information Technology Service,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1968,8/1/95,N
SR1100,"29,085.58",07753,Professional Spec,Human Resources,Part Time,002,Professionals,F,01,White (Not of Hispanic Origin),1945,7/16/13,Y
SR1500,"122,685.19",07744,Info Systems Asst Dir,Information Technology Service,Full Time,001,Officials and Administrators,F,01,White (Not of Hispanic Origin),1967,8/1/98,Y
SR1300,"71,765.63",07234,Information Systems Advisor 1,Information Technology Service,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1952,2/1/98,Y
SR0907,"48,980.83",10103,Application Tech 3,Human Resources,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1967,10/1/91,N
SR0801,"36,853.92",10124,Office Support Spec 2,Metropolitan Council,Full Time,006,Administrative Support,F,02,Black,1960,10/26/15,N
SR1200,"33,880.39",06874,Human Resources Analyst 3,Human Resources,Part Time,002,Professionals,F,01,White (Not of Hispanic Origin),1970,11/9/92,Y
SR0908,"50,341.38",10103,Application Tech 3,Human Resources,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1959,6/1/88,N
CA1200,"98,716.80",10629,VP of Human Resources-MCC,Convention Center Authority,Full Time,001,Officials and Administrators,F,01,White (Not of Hispanic Origin),1975,7/16/12,Y
SR1200,"70,915.71",07245,Admin Svcs Officer 4,Water Services,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1943,2/10/98,Y
SR1400,"106,406.86",06232,Finance Mgr,Fire,Full Time,001,Officials and Administrators,F,01,White (Not of Hispanic Origin),1972,9/16/98,Y
SR0907,"48,980.83",10103,Application Tech 3,General Services,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1956,3/1/95,N
SR0806,"42,995.51",10124,Office Support Spec 2,General Sessions Court,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1961,9/1/98,N
SR1500,"107,269.99",07420,Water Svcs Asst Dir,Water Services,Full Time,001,Officials and Administrators,M,02,Black,1952,11/1/90,Y
SR1300,"76,876.97",07234,Information Systems Advisor 1,Information Technology Service,Full Time,001,Officials and Administrators,F,04,Asian or Pacific Islander,1950,6/16/90,Y
SR1000,"45,086.06",03455,Human Resources Analyst 2,Health,Full Time,002,Professionals,M,02,Black,1967,9/1/15,N
NS,"76,425.00",01503,Deputy Trustee,Trustee,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1953,6/16/84,Y
SR1400,"79,718.95",06531,Human Resources Mgr,Human Resources,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1971,8/16/97,Y
SR1500,"132,621.61",07420,Water Svcs Asst Dir,Water Services,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1957,2/1/82,Y
SR1100,"63,778.10",10476,Information Sys Oper Anal 2,Information Technology Service,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1961,10/1/85,Y
SR1200,"70,915.71",07245,Admin Svcs Officer 4,Information Technology Service,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1956,6/27/77,Y
SR0906,"47,620.28",10103,Application Tech 3,Finance,Full Time,003,Technicians,M,02,Black,1965,12/16/90,N
SR1100,"53,382.08",07769,Info Sys Comm Analyst 2,Information Technology Service,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1970,6/16/96,Y
SR0909,"51,701.93",07241,Admin Asst,Human Resources,Full Time,006,Administrative Support,F,02,Black,1967,10/16/97,N
NS,"31,471.00",10737,Resource Ctr Liaison-NCAC,NCAC,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1956,4/9/09,N
SR1600,"146,482.60",07704,Finance Deputy Dir,Finance,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1949,10/1/72,Y
SR1300,"81,201.71",10108,Finance Admin,Finance,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1953,4/16/90,Y
SR0909,"51,701.93",10103,Application Tech 3,Human Resources,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1941,1/24/12,N
SR1300,"69,421.36",07234,Information Systems Advisor 1,Information Technology Service,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1960,8/16/93,Y
SR1500,"129,134.38",06108,Finance Asst Dir,Finance,Full Time,001,Officials and Administrators,F,01,White (Not of Hispanic Origin),1960,1/1/93,Y
SR1008,"55,604.35",07779,Info Systems App Analyst 1,Assessor of Property,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1964,3/1/94,N
SR1400,"83,343.73",06232,Finance Mgr,Metropolitan Council,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1949,6/16/98,Y
SR1200,"69,446.95",10152,Finance Officer 3,Finance,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1966,3/1/90,Y
SR1200,"65,280.30",07265,Info Sys Comm Analyst 3,Information Technology Service,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1959,2/28/87,Y
SR1300,"80,876.22",07234,Information Systems Advisor 1,Information Technology Service,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1955,2/12/79,Y
SR1300,"68,347.52",10108,Finance Admin,Public Library,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1965,9/1/92,Y
SR1500,"110,919.73",07762,Special Projects Mgr,Finance,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1950,3/18/74,Y
SR1300,"75,170.65",07234,Information Systems Advisor 1,Information Technology Service,Full Time,001,Officials and Administrators,F,01,White (Not of Hispanic Origin),1954,9/1/93,Y
SR1200,"34,572.33",06874,Human Resources Analyst 3,Human Resources,Part Time,002,Professionals,M,01,White (Not of Hispanic Origin),1950,7/5/11,Y
SR1400,"83,497.86",06531,Human Resources Mgr,Public Works,Full Time,002,Professionals,M,02,Black,1971,6/9/97,Y
SR1300,"76,588.97",07346,Human Resources Admin,Human Resources,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1952,5/1/82,Y
SR0800,"44,315.23",10478,Information Sys Oper Tech 1,Information Technology Service,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1961,5/26/97,N
SR0800,"42,687.84",10478,Information Sys Oper Tech 1,Information Technology Service,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1968,5/1/97,N
SR1300,"84,390.86",07234,Information Systems Advisor 1,Information Technology Service,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1964,5/12/86,Y
SR1000,"51,974.90",10151,Finance Officer 2,Finance,Full Time,002,Professionals,F,02,Black,1956,6/16/99,N
SR1200,"65,022.50",07783,Info Systems App Analyst 3,Information Technology Service,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1970,8/16/96,Y
SR1200,"59,077.80",10152,Finance Officer 3,Finance,Full Time,002,Professionals,F,02,Black,1960,3/1/99,Y
SR1400,"115,537.00",07318,Info Systems Div Mgr,Public Works,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1963,11/1/88,Y
SR1000,"56,693.35",07244,Admin Svcs Officer 3,General Services,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1952,11/16/97,N
SR1400,"80,670.95",07407,Information Systems Advisor 2,Information Technology Service,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1970,10/16/98,Y
SR1300,"77,727.94",07234,Information Systems Advisor 1,Information Technology Service,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1961,11/4/91,Y
NS,"92,700.00",10816,Satellite position,Register of Deeds,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1962,10/18/04,Y
MAC08B,"38,362.36",10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1979,9/28/15,N
MAC08B,"38,362.36",10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,04,Asian or Pacific Islander,1968,9/28/15,N
SR0801,"36,853.92",07375,Probation Officer 1,Juvenile Court,Full Time,002,Professionals,F,02,Black,1980,10/1/15,N
TG031M,"25,600.01",02799,Maint & Repair Worker 1,Parks,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1987,9/25/15,N
TG0701,"32,598.19",06827,Equip Operator 2,Water Services,Full Time,008,Service Maintenance,M,02,Black,1972,9/26/15,N
TG0701,"32,598.19",06827,Equip Operator 2,Water Services,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1971,9/26/15,N
SR0601,"29,752.84",10613,Security Officer 1,Sheriff,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1993,2/22/16,N
SR0401,"23,691.03",02900,Circulation Asst 1,Public Library,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1993,9/27/15,N
SR0201,"9,468.37",05070,Library Page,Public Library,Part Time,006,Administrative Support,F,02,Black,1992,9/27/15,N
SR1200,"54,548.70",05300,Library Mgr 2,Public Library,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1979,9/27/15,Y
SR0401,"23,691.03",02900,Circulation Asst 1,Public Library,Full Time,006,Administrative Support,F,02,Black,1990,9/27/15,N
SR0901,"40,817.54",10749,App Support Tech 1-DCSO,Sheriff,Full Time,003,Technicians,M,02,Black,1976,10/19/15,N
SR1001,"45,086.06",05923,Special Programs Coord,Farmer's Market,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1978,9/28/15,Y
JS0200,"50,490.00",07790,Judicial Asst 1,General Sessions Court,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1955,10/5/15,Y
SR1400,"94,706.97",07318,Info Systems Div Mgr,Information Technology Service,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1975,9/26/15,Y
SR1300,"78,587.79",07234,Information Systems Advisor 1,Information Technology Service,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1958,9/26/15,Y
SR0801,"36,853.92",10102,Application Tech 2,General Services,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1988,9/28/15,N
SR0500,"26,594.62",10779,Animal Care & Con Ken Asst 1,Health,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1983,9/26/15,N
SR0600,"29,752.84",10122,Office Support Rep 3,Health,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1970,9/26/15,N
SR1300,"65,377.35",10743,Health Manager 2,Health,Full Time,002,Professionals,M,02,Black,1962,10/1/15,Y
SR0800,"41,867.00",01843,Environmentalist 1,Health,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1984,9/29/15,N
SR0500,"26,594.62",06485,Outreach Worker,Health,Full Time,005,Para-Professional,F,02,Black,1955,10/5/15,N
SR0803,"39,310.55",07243,Admin Svcs Officer 2,Farmer's Market,Full Time,002,Professionals,M,02,Black,1972,10/6/15,N
NS,"1,870.00",09020,Seasonal/Part-time/Temporary,State Fair Board,Seasonal,008,Service Maintenance,F,01,White (Not of Hispanic Origin),1961,10/8/15,N
NS,104.00,09020,Seasonal/Part-time/Temporary,State Fair Board,Seasonal,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1991,10/8/15,N
CM00,"15,000.00",01334,Council Member,Metropolitan Council,Elected,000,Elected Officials,M,01,White (Not of Hispanic Origin),1985,9/25/15,Y
CM00,"15,000.00",01334,Council Member,Metropolitan Council,Elected,000,Elected Officials,F,01,White (Not of Hispanic Origin),1958,9/25/15,Y
CM00,"15,000.00",01334,Council Member,Metropolitan Council,Elected,000,Elected Officials,F,01,White (Not of Hispanic Origin),1964,9/25/15,Y
CM00,"15,000.00",01334,Council Member,Metropolitan Council,Elected,000,Elected Officials,M,01,White (Not of Hispanic Origin),1966,9/25/15,Y
CM00,"15,000.00",01334,Council Member,Metropolitan Council,Elected,000,Elected Officials,M,01,White (Not of Hispanic Origin),1956,9/25/15,Y
SR0800,"38,200.00",02730,Human Resources Analyst 1,Human Resources,Full Time,002,Professionals,M,03,Hispanic,1986,10/12/15,N
NS,"40,000.00",10312,Reception and Support Services,Mayor's Office,Full Time,002,Professionals,M,02,Black,1990,10/1/15,Y
NS,"95,000.00",07162,Press Secretary,Mayor's Office,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1982,10/12/15,Y
SR0801,"36,853.92",07379,Program Spec 2,Public Library,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1993,10/11/15,N
SP0101,"9,259.61",03445,School Crossing Guard,Police,Part Time,004,Protective Service Workers,M,02,Black,1943,10/12/15,N
SR1200,"57,000.00",10477,Information Sys Oper Analyst 3,Information Technology Service,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1971,10/10/15,Y
MAC01A,"24,281.20",10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,M,02,Black,1983,10/12/15,N
MAC08B,"38,362.36",10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,02,Black,1984,10/12/15,N
SR0808,"45,452.15",07243,Admin Svcs Officer 2,Circuit Court Clerk,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1974,3/14/16,N
TG031M,"25,600.00",02799,Maint & Repair Worker 1,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1980,10/13/15,N
TG031M,"25,600.00",02799,Maint & Repair Worker 1,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1994,10/13/15,N
TG031M,"25,600.00",02799,Maint & Repair Worker 1,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1984,10/13/15,N
TG031M,"25,600.00",02799,Maint & Repair Worker 1,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1977,10/13/15,N
TG031M,"25,600.00",02799,Maint & Repair Worker 1,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1988,10/13/15,N
TG031M,"25,600.00",02799,Maint & Repair Worker 1,Public Works,Full Time,008,Service Maintenance,M,02,Black,1993,10/13/15,N
SR1001,"45,086.06",07300,Engineering Tech 3,Water Services,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1964,10/10/15,N
MAC08B,"38,362.36",10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1971,10/19/15,N
MAC01A,"24,281.20",10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,F,02,Black,1990,10/19/15,N
MAC01B,"11,564.47",10250,Teacher Asst,Metro Action Commission,Part Time,006,Administrative Support,F,02,Black,1994,10/19/15,N
MAC08B,"38,362.36",10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1992,10/19/15,N
NS,936.00,09020,Seasonal/Part-time/Temporary,State Fair Board,Seasonal,008,Service Maintenance,F,01,White (Not of Hispanic Origin),1994,10/23/15,Y
NS,"30,622.80",09020,Seasonal/Part-time/Temporary,General Sessions Court,Part Time,002,Professionals,F,01,White (Not of Hispanic Origin),1979,10/19/15,N
MAC07C,"34,522.59",10798,PF& Comm Engagement Adv II-MAC,Metro Action Commission,Full Time,005,Para-Professional,F,02,Black,1991,10/19/15,Y
NS,"45,000.00",10809,Policy Assist -Mayor's Office,Mayor's Office,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1992,10/16/15,N
SR0501,"12,759.55",06085,Concessions Clerk 2,Parks,Part Time,006,Administrative Support,F,04,Asian or Pacific Islander,1971,10/9/15,N
SR0401,"11,371.78",06084,Concessions Clerk 1,Parks,Part Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1958,10/9/15,N
SR0800,"36,853.92",06631,Food Inspector 1,Health,Full Time,001,Officials and Administrators,F,02,Black,1991,10/14/15,N
NS,"30,000.00",06506,Deputy Criminal Ct Clerk 5,Criminal Court Clerk,Full Time,006,Administrative Support,F,02,Black,1992,10/26/15,N
CA0300,"35,360.00",10733,Network Tech 1-MCC,Convention Center Authority,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,10/26/15,N
MAC08B,"38,362.36",10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,02,Black,1988,10/26/15,N
MAC06A,"30,055.43",10443,Program Assistant/ CSBG-LIHEAP,Metro Action Commission,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1973,10/26/15,N
